id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
45168099,Beach & Walkways GuestHouse,364782402,Sara,VILA DO CONDE,Árvore,41.33145,-8.73664,Entire home/apt,100,2,39,2024-05-30,0.85,1,56,7,111682/AL
859387906570209474,Estúdio Canidelo,507933510,Dias,VILA NOVA DE GAIA,Canidelo,41.11544,-8.65838,Entire home/apt,100,3,2,2023-08-20,0.18,1,358,2,09664976
44059520,Estudio centro do Porto,353219224,Porto Automatic,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14835,-8.60907,Entire home/apt,86,1,121,2024-05-16,2.59,8,344,19,105205/AL
1171570720720407183,Luz&Martins Alojamento,581453724,Daniela,PAREDES,Aguiar de Sousa,41.1348447,-8.4197404,Entire home/apt,165,2,0,,,1,236,0,156744
952203316395069110,Cama 5 em Dormitório Feminino,513540563,Hostel,VILA DO CONDE,Gião,41.30268448578974,-8.682173844281893,Shared room,23,1,0,,,21,365,0,144145/AL
821791416075185347,Family home close to the ocean,1330301,Sandrine,VILA NOVA DE GAIA,São Félix da Marinha,41.02826894894919,-8.639896735443122,Entire home/apt,180,5,1,2023-08-13,0.10,1,352,1,131873/AL
536698,conforto e qualidade,784206,Ana,MAIA,Pedrouços,41.18751,-8.58391,Private room,100,1,0,,,1,365,0,
16777149,Canvas Atelier Hostel Twin Room,111295008,Canvas,PORTO,Bonfim,41.14764,-8.60039,Private room,,1,30,2023-09-13,0.52,4,288,2,3736/AL
52301889,Quarto em apartamento,26570294,Jorge,VALONGO,Ermesinde,41.21014,-8.55615,Private room,,1,6,2022-08-24,0.26,1,0,0,Exempt
597806129105600246,Double room with garden view,222385462,Sid,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.15645,-8.60721,Private room,,1,1,2022-04-18,0.04,3,0,0,64006/AL
1170748141676747561,Classico Guesthouse Economic Room 7,372640759,Douglas,VILA NOVA DE GAIA,Mafamude e Vilar do Paraíso,41.11837859088333,-8.607547315179277,Private room,45,2,1,2024-06-09,1,7,83,1,64117/AL
942192373058083504,Penthouse by the ocean,96875621,Diogo,VILA NOVA DE GAIA,Canidelo,41.1209916,-8.664619199999999,Entire home/apt,145,31,0,,,1,363,0,Exempt
750001240529636395,"aconchegante, próximo de várias cidades turísticas",260681458,Rosana,TROFA,Bougado (São Martinho e Santiago),41.32686,-8.56948,Entire home/apt,,1,0,,,1,0,0,Exempt
754979152435897787,Afurada Guest House B,31336345,Ana,VILA NOVA DE GAIA,Santa Marinha e São Pedro da Afurada,41.14349,-8.64422,Entire home/apt,,2,9,2023-06-17,0.62,2,0,0,107138/AL
11523700,Apartamento Acolhedor na Boavista,3743974,Ricardo,PORTO,Lordelo do Ouro e Massarelos,41.15847,-8.64331,Entire home/apt,134,3,5,2023-12-31,0.18,1,20,2,121243/AL
671520507514598176,Kental 6,418828281,António,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.16081,-8.61045,Entire home/apt,,3,2,2022-08-22,0.09,2,0,0,118034/AL
6737465,T1 no centro da Povoa de Varzim,7792540,Celine,PÓVOA DE VARZIM,"Póvoa de Varzim, Beiriz e Argivai",41.3827,-8.76082,Entire home/apt,,6,6,2021-08-15,0.07,1,0,0,
1391455,Spot Apartments - Trindade 3,582444,Spot,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.153881,-8.610879,Entire home/apt,,1,37,2023-05-25,0.28,10,0,0,5527/A
683937077570683076,Trendy comfort in Vila Nova de Gaia,472709963,Fernando,VILA NOVA DE GAIA,Oliveira do Douro,41.13745,-8.60027,Entire home/apt,110,1,72,2024-05-22,3.20,1,304,31,132853/AL
14976352,T0 NA BAIXA DO PORTO,84224466,Claudia,PORTO,Bonfim,41.15214,-8.60224,Entire home/apt,,1,0,,,1,0,0,
54067872,Ribeira Loft,139110639,Ruis,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14061,-8.6178,Entire home/apt,86,2,95,2024-06-08,3.36,63,143,38,44856/AL
827497110200147118,Povoa Center beach Apartment,501209715,Manuel,PÓVOA DE VARZIM,"Póvoa de Varzim, Beiriz e Argivai",41.3826654,-8.762876,Entire home/apt,72,2,0,,,1,274,0,134120/AL
912243614749528693,Apartamento T4 em frente ao mar,483802177,Elisabete,PÓVOA DE VARZIM,"AVer-o-Mar, Amorim e Terroso",41.3939056,-8.7763011,Entire home/apt,291,1,6,2024-01-28,0.52,1,178,6,146263/AL
19006713,Quarto perto do Hospital S. João e Universidades,132454225,Rodrigo,PORTO,Paranhos,41.18479,-8.60363,Private room,36,3,51,2024-06-02,0.86,3,340,15,
971703565124133876,Quarto de casal numa casa T4,488114579,Ivandra,PORTO,Campanhã,41.16190233574115,-8.589726685043198,Private room,120,1,2,2023-10-25,0.22,3,269,2,79188/AL
1004882416541244226,Caravana na praia,397984572,Angelo,VILA NOVA DE GAIA,Canidelo,41.12592393538077,-8.65213197910671,Private room,350,1,0,,,1,269,0,
1165659005273232654,SwissPorto Guest House 11D,519870028,Mohammed Sayful,PORTO,Paranhos,41.167528550882786,-8.589525812675554,Shared room,22,1,2,2024-06-08,2,34,270,2,Exempt
1167613418533285739,SwissPorto Guest House 34A,519870028,Mohammed Sayful,PORTO,Bonfim,41.16656323197621,-8.59131473165017,Shared room,31,1,0,,,34,269,0,Exempt
29404058,Oporto Heroismo Place 1,45934980,Maria José E Francisco,PORTO,Campanhã,41.14665,-8.5879,Entire home/apt,65,3,2,2022-10-31,0.03,2,173,0,45491/AL
664951806937714027,HM - Casa Ghiselini Porto 213,47191303,Home Me,PORTO,Bonfim,41.15067,-8.5976,Entire home/apt,89,1,74,2024-06-07,3.18,45,320,50,128788/AL
844178477346769068,Bright Apartment Next to D. Luis Bridge,15900664,LisBeyond,VILA NOVA DE GAIA,Santa Marinha e São Pedro da Afurada,41.13623,-8.61227,Entire home/apt,81,1,8,2024-06-01,0.55,16,155,6,91246/AL
42485141,Favo,66449897,Maria,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.15994,-8.62288,Private room,39,1,61,2024-06-08,1.75,3,287,26,Exempt
700896367726867247,Quarto Casal Grande cerca do centro do Porto,369122221,Guilherme,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.16246,-8.61479,Private room,32,1,24,2024-06-02,1.09,2,318,15,Exempt
1128181927441087173,Porto Saldanha - 2x T2 duplex,570726248,Carla,PORTO,Bonfim,41.14246,-8.59638,Entire home/apt,134,1,5,2024-05-30,2.94,1,216,5,154991/AL
946373994771579241,Pestana Cozy House,513024566,Pestana,PORTO,Bonfim,41.15391,-8.59516,Entire home/apt,75,3,6,2024-05-16,0.58,7,210,6,133362/AL
665689587087802381,Casa da Luna,22212713,Sónia,MATOSINHOS,Matosinhos e Leça da Palmeira,41.18119,-8.68253,Entire home/apt,106,2,12,2024-05-29,1.29,7,306,12,136577/AL
1167603429971616745,SwissPorto Guest House 13F,519870028,Mohammed Sayful,PORTO,Bonfim,41.1659413737727,-8.588986361865011,Shared room,18,1,0,,,34,270,0,Exempt
6594422,1 bedroom in historic neighborhood,34499587,Ana Rute,VILA NOVA DE GAIA,Mafamude e Vilar do Paraíso,41.12863,-8.61036,Entire home/apt,84,1,35,2024-02-02,0.32,9,164,1,115517/AL
14821291,Casa do Caldas  - Suite 1,92657760,António,VILA DO CONDE,Retorta e Tougues,41.356426,-8.718077,Private room,59,2,36,2024-03-31,0.40,6,320,7,13611/AL
964375522566069780,A'Mar GH by Alojamento Ideal - C,86391992,Pedro,PÓVOA DE VARZIM,"Póvoa de Varzim, Beiriz e Argivai",41.377859,-8.761346999999999,Private room,45,1,0,,,15,148,0,139206/AL
1121602506026259972,Bookwise - quarto 2B,568051113,Bookwise,PORTO,Paranhos,41.16439848594868,-8.60193423790243,Private room,88,2,0,,,37,106,0,146695/AL
606945232166816939,Ap.B- Beach Apartments Leça da Palmeira by Zen4you,440683439,Kinga E António,MATOSINHOS,Matosinhos e Leça da Palmeira,41.19105,-8.70332,Entire home/apt,149,2,43,2024-05-21,1.66,7,192,17,124142/AL
986253164499806299,Apartamento no centro de Gaia,139877269,Joel,VILA NOVA DE GAIA,Mafamude e Vilar do Paraíso,41.12832532746329,-8.603126263925013,Entire home/apt,75,30,0,,,1,87,0,Exempt
966597701896382583,Pestana Cozy House,513024566,Pestana,PORTO,Bonfim,41.15558264864283,-8.596064368009039,Entire home/apt,75,3,3,2024-02-26,0.33,7,331,3,133338/AL
1105127986396979086,Quiet open space with balcony,20900121,Ines,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.164740698755075,-8.619296379926311,Entire home/apt,80,1,5,2024-05-13,2.03,1,193,5,Exempt
53308673,Duplex encantador 15 minutos praia Matosinhos Sul,406260343,Adelaide,MATOSINHOS,Matosinhos e Leça da Palmeira,41.17685,-8.6699,Entire home/apt,120,2,1,2023-06-12,0.08,1,167,0,Exempt
697164768367568706,Hostel Solar todo renovado em 2019. todas as suite,103017132,Ricardo,PORTO,Campanhã,41.1473154,-8.586845499999999,Private room,65,1,0,,,10,159,0,97423/AL
